Symbol,Company,ISIN,Ticker
BEPL,Bhansali Engineering Polymers Limited,INE922A01025,NSE:BEPL
BERGEPAINT,Berger Paints (I) Limited,INE463A01038,NSE:BERGEPAINT
BETA,Beta Drugs Limited,INE351Y01019,NSE:BETA
BFINVEST,BF Investment Limited,INE878K01010,NSE:BFINVEST
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,INE414D01027,NSE:BHAGCHEM
BHAGERIA,Bhageria Industries Limited,INE354C01027,NSE:BHAGERIA
BHAGYANGR,Bhagyanagar India Limited,INE458B01036,NSE:BHAGYANGR
BHANDARI,Bhandari Hosiery Exports Limited,INE474E01029,NSE:BHANDARI
BHARATCOAL,Bharat Coking Coal Limited,INE05XR01022,NSE:BHARATCOAL
BHARATFORG,Bharat Forge Limited,INE465A01025,NSE:BHARATFORG
BHARATGEAR,Bharat Gears Limited,INE561C01019,NSE:BHARATGEAR
BHARATRAS,Bharat Rasayan Limited,INE838B01021,NSE:BHARATRAS
BHARATSE,Bharat Seats Limited,INE415D01024,NSE:BHARATSE
BHARATWIRE,Bharat Wire Ropes Limited,INE316L01019,NSE:BHARATWIRE
BHARTIARTL,Bharti Airtel Limited,INE397D01024,NSE:BHARTIARTL
BHARTIHEXA,Bharti Hexacom Limited,INE343G01021,NSE:BHARTIHEXA
BHEL,Bharat Heavy Electricals Limited,INE257A01026,NSE:BHEL
BIGBLOC,Bigbloc Construction Limited,INE412U01025,NSE:BIGBLOC
BIKAJI,Bikaji Foods International Limited,INE00E101023,NSE:BIKAJI
BIL,Bhartiya International Limited,INE828A01016,NSE:BIL
BIOCON,Biocon Limited,INE376G01013,NSE:BIOCON
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,INE829A01014,NSE:BIOFILCHEM
BIRLACABLE,Birla Cable Limited,INE800A01015,NSE:BIRLACABLE
BIRLACORPN,Birla Corporation Limited,INE340A01012,NSE:BIRLACORPN
BIRLAMONEY,Aditya Birla Money Limited,INE865C01022,NSE:BIRLAMONEY
BIRLANU,BirlaNu Limited,INE557A01011,NSE:BIRLANU
BLACKBUCK,BLACKBUCK LIMITED,INE0UIZ01018,NSE:BLACKBUCK
BLAL,BEML Land Assets Limited,INE0N7W01012,NSE:BLAL
BLISSGVS,Bliss GVS Pharma Limited,INE416D01022,NSE:BLISSGVS
BLKASHYAP,B. L. Kashyap and Sons Limited,INE350H01032,NSE:BLKASHYAP
BLS,BLS International Services Limited,INE153T01027,NSE:BLS
BLSE,BLS E-Services Limited,INE0NLT01010,NSE:BLSE
BLUECOAST,Blue Coast Hotels Limited,INE472B01011,NSE:BLUECOAST
BLUEDART,Blue Dart Express Limited,INE233B01017,NSE:BLUEDART
BLUEJET,Blue Jet Healthcare Limited,INE0KBH01020,NSE:BLUEJET
BLUESTARCO,Blue Star Limited,INE472A01039,NSE:BLUESTARCO
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,INE304W01038,NSE:BLUESTONE
BLUSPRING,Bluspring Enterprises Limited,INE0U4101014,NSE:BLUSPRING
BMWVENTLTD,BMW Ventures Limited,INE965W01036,NSE:BMWVENTLTD
BODALCHEM,Bodal Chemicals Limited,INE338D01028,NSE:BODALCHEM
BOMDYEING,Bombay Dyeing & Mfg Company Limited,INE032A01023,NSE:BOMDYEING
BOROLTD,Borosil Limited,INE02PY01013,NSE:BOROLTD
BORORENEW,BOROSIL RENEWABLES LIMITED,INE666D01022,NSE:BORORENEW
BOROSCI,Borosil Scientific Limited,INE02L001032,NSE:BOROSCI
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED,INE782A01015,NSE:BOSCH-HCIL
BOSCHLTD,Bosch Limited,INE323A01026,NSE:BOSCHLTD
BPCL,Bharat Petroleum Corporation Limited,INE029A01011,NSE:BPCL
BPL,BPL Limited,INE110A01019,NSE:BPL
BRIGADE,Brigade Enterprises Limited,INE791I01019,NSE:BRIGADE
BRIGHOTEL,Brigade Hotel Ventures Limited,INE03NU01014,NSE:BRIGHOTEL
BRITANNIA,Britannia Industries Limited,INE216A01030,NSE:BRITANNIA
BRNL,Bharat Road Network Limited,INE727S01012,NSE:BRNL
BROOKS,Brooks Laboratories Limited,INE650L01011,NSE:BROOKS
BSE,BSE Limited,INE118H01025,NSE:BSE
BSHSL,Bombay Super Hybrid Seeds Limited,INE032Z01020,NSE:BSHSL
BSL,BSL Limited,INE594B01012,NSE:BSL
BSOFT,BIRLASOFT LIMITED,INE836A01035,NSE:BSOFT
BTML,Bodhi Tree Multimedia Limited,INE0EEJ01023,NSE:BTML
BUILDPRO,Shankara Buildpro Limited,INE24OJ01011,NSE:BUILDPRO
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,INE295F01017,NSE:BUTTERFLY
BVCL,Barak Valley Cements Limited,INE139I01011,NSE:BVCL
BYKE,The Byke Hospitality Ltd,INE319B01014,NSE:BYKE
CALSOFT,California Software Company Limited,INE526B01014,NSE:CALSOFT
CAMLINFINE,Camlin Fine Sciences Limited,INE052I01032,NSE:CAMLINFINE
CAMPUS,Campus Activewear Limited,INE278Y01022,NSE:CAMPUS
CAMS,Computer Age Management Services Limited,INE596I01020,NSE:CAMS
CANBK,Canara Bank,INE476A01022,NSE:CANBK
CANFINHOME,Can Fin Homes Limited,INE477A01020,NSE:CANFINHOME
CANHLIFE,Canara HSBC Life Insurance Company Limited,INE01TY01017,NSE:CANHLIFE
CANTABIL,Cantabil Retail India Limited,INE068L01024,NSE:CANTABIL
CAPACITE,Capacit'e Infraprojects Limited,INE264T01014,NSE:CAPACITE
CAPILLARY,Capillary Technologies India Limited,INE0ILV01024,NSE:CAPILLARY
CAPITALSFB,Capital Small Finance Bank Limited,INE646H01017,NSE:CAPITALSFB
CAPLIPOINT,Caplin Point Laboratories Limited,INE475E01026,NSE:CAPLIPOINT
CARBORUNIV,Carborundum Universal Limited,INE120A01034,NSE:CARBORUNIV
CARERATING,CARE Ratings Limited,INE752H01013,NSE:CARERATING
CARRARO,Carraro India Limited,INE0V7W01012,NSE:CARRARO
CARTRADE,Cartrade Tech Limited,INE290S01011,NSE:CARTRADE
CARYSIL,CARYSIL LIMITED,INE482D01024,NSE:CARYSIL
CASTROLIND,Castrol India Limited,INE172A01027,NSE:CASTROLIND
CCAVENUE,AvenuesAI Limited,INE483S01020,NSE:CCAVENUE
CCCL,Consolidated Construction Consortium Limited,INE429I01024,NSE:CCCL
CCHHL,Country Club Hospitality & Holidays Limited,INE652F01027,NSE:CCHHL
CCL,CCL Products (India) Limited,INE421D01022,NSE:CCL
CDSL,Central Depository Services (India) Limited,INE736A01011,NSE:CDSL
CEATLTD,CEAT Limited,INE482A01020,NSE:CEATLTD
CEIGALL,Ceigall India Limited,INE0AG901020,NSE:CEIGALL
CEINSYS,Ceinsys Tech Limited,INE016Q01014,NSE:CEINSYS
CELEBRITY,Celebrity Fashions Limited,INE185H01016,NSE:CELEBRITY
CELLO,Cello World Limited,INE0LMW01024,NSE:CELLO
